      ESP Fit Center  222 is at  -2.250000  0.900000 -0.329615
      ESP Fit Center  223 is at  -2.250000  0.900000 -0.029615
      ESP Fit Center  224 is at  -2.250000  0.900000  0.270385
      ESP Fit Center  225 is at  -2.250000  0.900000  0.570385
      ESP Fit Center  226 is at  -2.250000  0.900000  0.870385
      ESP Fit Center  227 is at  -2.250000  0.900000  1.170385
      ESP Fit Center  228 is at  -2.250000  0.900000  1.470385
      ESP Fit Center  229 is at  -2.250000  1.200000 -1.829615
      ESP Fit Center  230 is at  -2.250000  1.200000 -1.529615
      ESP Fit Center  231 is at  -2.250000  1.200000 -1.229615
      ESP Fit Center  232 is at  -2.250000  1.200000 -0.929615
      ESP Fit Center  233 is at  -2.250000  1.200000 -0.629615
      ESP Fit Center  234 is at  -2.250000  1.200000 -0.329615
      ESP Fit Center  235 is at  -2.250000  1.200000 -0.029615
      ESP Fit Center  236 is at  -2.250000  1.200000  0.270385
      ESP Fit Center  237 is at  -2.250000  1.200000  0.570385
      ESP Fit Center  238 is at  -2.250000  1.200000  0.870385
      ESP Fit Center  239 is at  -2.250000  1.200000  1.170385
      ESP Fit Center  240 is at  -2.250000  1.500000 -1.829615
      ESP Fit Center  241 is at  -2.250000  1.500000 -1.529615
      ESP Fit Center  242 is at  -2.250000  1.500000 -1.229615
      ESP Fit Center  243 is at  -2.250000  1.500000 -0.929615
      ESP Fit Center  244 is at  -2.250000  1.500000 -0.629615
      ESP Fit Center  245 is at  -2.250000  1.500000 -0.329615
      ESP Fit Center  246 is at  -2.250000  1.500000 -0.029615
      ESP Fit Center  247 is at  -2.250000  1.500000  0.270385
      ESP Fit Center  248 is at  -2.250000  1.500000  0.570385
      ESP Fit Center  249 is at  -2.250000  1.500000  0.870385
      ESP Fit Center  250 is at  -2.250000  1.800000 -1.529615
      ESP Fit Center  251 is at  -2.250000  1.800000 -1.229615
      ESP Fit Center  252 is at  -2.250000  1.800000 -0.929615
      ESP Fit Center  253 is at  -2.250000  1.800000 -0.629615
      ESP Fit Center  254 is at  -2.250000  1.800000 -0.329615
      ESP Fit Center  255 is at  -2.250000  1.800000 -0.029615
      ESP Fit Center  256 is at  -2.250000  1.800000  0.270385
      ESP Fit Center  257 is at  -2.250000  1.800000  0.570385
      ESP Fit Center  258 is at  -2.250000  2.100000 -1.229615
      ESP Fit Center  259 is at  -2.250000  2.100000 -0.929615
      ESP Fit Center  260 is at  -2.250000  2.100000 -0.629615
      ESP Fit Center  261 is at  -2.250000  2.100000 -0.329615
      ESP Fit Center  262 is at  -2.250000  2.100000 -0.029615
      ESP Fit Center  263 is at  -2.250000  2.100000  0.270385
      ESP Fit Center  264 is at  -2.250000  2.400000 -0.629615
      ESP Fit Center  265 is at  -2.250000  2.400000 -0.329615
      ESP Fit Center  266 is at  -1.950000 -2.700000 -0.929615
      ESP Fit Center  267 is at  -1.950000 -2.700000 -0.629615
      ESP Fit Center  268 is at  -1.950000 -2.700000 -0.329615
      ESP Fit Center  269 is at  -1.950000 -2.700000 -0.029615
      ESP Fit Center  270 is at  -1.950000 -2.400000 -1.529615
      ESP Fit Center  271 is at  -1.950000 -2.400000 -1.229615
      ESP Fit Center  272 is at  -1.950000 -2.400000 -0.929615
      ESP Fit Center  273 is at  -1.950000 -2.400000 -0.629615
      ESP Fit Center  274 is at  -1.950000 -2.400000 -0.329615
      ESP Fit Center  275 is at  -1.950000 -2.400000 -0.029615
      ESP Fit Center  276 is at  -1.950000 -2.400000  0.270385
      ESP Fit Center  277 is at  -1.950000 -2.400000  0.570385
      ESP Fit Center  278 is at  -1.950000 -2.100000 -1.829615
      ESP Fit Center  279 is at  -1.950000 -2.100000 -1.529615
      ESP Fit Center  280 is at  -1.950000 -2.100000 -1.229615
      ESP Fit Center  281 is at  -1.950000 -2.100000 -0.929615
      ESP Fit Center  282 is at  -1.950000 -2.100000 -0.629615
      ESP Fit Center  283 is at  -1.950000 -2.100000 -0.329615
      ESP Fit Center  284 is at  -1.950000 -2.100000 -0.029615
      ESP Fit Center  285 is at  -1.950000 -2.100000  0.270385
      ESP Fit Center  286 is at  -1.950000 -2.100000  0.570385
      ESP Fit Center  287 is at  -1.950000 -2.100000  0.870385
      ESP Fit Center  288 is at  -1.950000 -1.800000 -2.129615
